arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
sample_factory/algo/utils/spaces/discretized.py,2,1.0,1,2,A,Discretized,__init__,5
sample_factory/cfg/cfg.py,21,1.0,1,21,A,,add_basic_cli_args,9
sample_factory/cfg/configurable.py,1,1.0,1,1,A,Configurable,__init__,5
sample_factory/huggingface/load_from_hub.py,1,1.0,1,1,A,,main,6
sample_factory/model/model_factory.py,5,1.0,1,5,A,ModelFactory,__init__,17
sample_factory/algo/utils/context.py,6,1.17,2,7,A,,sf_global_context,16
sample_factory/algo/utils/heartbeat.py,5,1.2,2,6,A,HeartbeatStoppableEventLoopObject,on_stop,23
sample_factory/model/decoder.py,4,1.25,2,5,A,MlpDecoder,__init__,16
sample_factory/algo/utils/misc.py,3,1.33,2,4,A,,memory_stats,36
sample_factory/algo/learning/learner_worker.py,20,1.35,3,27,A,,init_learner_process,27
sample_factory/algo/utils/model_sharing.py,20,1.4,4,28,A,ParameterClientAsync,ensure_weights_updated,132
sample_factory/algo/sampling/sampling_utils.py,9,1.44,4,13,A,,rollout_worker_device,54
sample_factory/algo/sampling/sampler.py,40,1.48,5,59,A,Sampler,_inference_worker_ready,177
sample_factory/algo/utils/multiprocessing_utils.py,7,1.57,3,11,A,,get_mp_ctx,9
sample_factory/model/action_parameterization.py,5,1.6,3,8,A,ActionParameterizationContinuousNonAdaptiveStddev,__init__,45
sample_factory/algo/utils/env_info.py,13,1.69,5,22,A,,obtain_env_info_in_a_separate_process,166
sample_factory/utils/timing.py,21,1.71,8,36,B,Timing,_tree_str_func,125
sample_factory/model/encoder.py,23,1.74,4,40,A,MultiInputEncoder,__init__,34
sample_factory/algo/runners/runner_parallel.py,5,1.8,3,9,A,ParallelRunner,init,20
sample_factory/algo/sampling/sync_sampling_api.py,5,1.8,3,9,A,SyncSamplingAPI,_on_new_trajectories,36
sample_factory/launcher/run_slurm.py,10,1.8,3,18,A,,submit_sbatch_file,116
sample_factory/model/actor_critic.py,35,1.86,10,65,B,ActorCritic,initialize_weights,73
sample_factory/envs/env_utils.py,15,1.87,4,28,A,,find_wrapper_interface,62
sample_factory/algo/utils/rl_utils.py,10,1.9,4,19,A,,make_dones,100
sample_factory/algo/learning/rnn_utils.py,4,2.0,5,8,A,,_build_pack_info_from_dones,11
sample_factory/algo/runners/runner_serial.py,2,2.0,3,4,A,SerialRunner,init,13
sample_factory/algo/utils/tensor_utils.py,6,2.0,2,12,A,,clone_tensor,10
sample_factory/launcher/launcher_utils.py,1,2.0,2,2,A,,seeds,5
