arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
sample_factory/enjoy.py,function,,make_env,A,1,85,89
sample_factory/eval.py,function,,do_eval,A,1,113,119
sample_factory/export_onnx.py,function,,generate_rnn_states,A,1,98,99
sample_factory/export_onnx.py,function,,create_forward,A,1,128,141
sample_factory/export_onnx.py,function,,patch_forward,A,1,144,152
sample_factory/export_onnx.py,method,OnnxExporter,__init__,A,1,32,36
sample_factory/algo/learning/batcher.py,function,,slice_len,A,1,18,19
sample_factory/algo/learning/batcher.py,method,SliceMerger,__init__,A,1,23,26
sample_factory/algo/learning/batcher.py,method,SliceMerger,_add_slice,A,1,28,31
sample_factory/algo/learning/batcher.py,method,SliceMerger,_del_slice,A,1,33,36
sample_factory/algo/learning/batcher.py,method,Batcher,initialized,A,1,125,125
sample_factory/algo/learning/batcher.py,method,Batcher,trajectory_buffers_available,A,1,128,128
sample_factory/algo/learning/batcher.py,method,Batcher,training_batches_available,A,1,131,131
sample_factory/algo/learning/batcher.py,method,Batcher,stop_experience_collection,A,1,134,134
sample_factory/algo/learning/batcher.py,method,Batcher,resume_experience_collection,A,1,137,137
sample_factory/algo/learning/batcher.py,method,Batcher,stop,A,1,140,140
sample_factory/algo/learning/batcher.py,method,Batcher,on_stop,A,1,269,271
sample_factory/algo/learning/learner.py,method,LearningRateScheduler,update,A,1,36,37
sample_factory/algo/learning/learner.py,method,LearningRateScheduler,invoke_after_each_minibatch,A,1,39,40
sample_factory/algo/learning/learner.py,method,LearningRateScheduler,invoke_after_each_epoch,A,1,42,43
sample_factory/algo/learning/learner.py,method,KlAdaptiveScheduler,__init__,A,1,47,50
sample_factory/algo/learning/learner.py,method,KlAdaptiveScheduler,num_recent_kls_to_use,A,1,53,54
sample_factory/algo/learning/learner.py,method,KlAdaptiveSchedulerPerMinibatch,num_recent_kls_to_use,A,1,69,70
sample_factory/algo/learning/learner.py,method,KlAdaptiveSchedulerPerMinibatch,invoke_after_each_minibatch,A,1,72,73
sample_factory/algo/learning/learner.py,method,KlAdaptiveSchedulerPerEpoch,__init__,A,1,77,79
sample_factory/algo/learning/learner.py,method,KlAdaptiveSchedulerPerEpoch,num_recent_kls_to_use,A,1,81,82
sample_factory/algo/learning/learner.py,method,KlAdaptiveSchedulerPerEpoch,invoke_after_each_epoch,A,1,84,85
sample_factory/algo/learning/learner.py,method,LinearDecayScheduler,__init__,A,1,89,92
sample_factory/algo/learning/learner.py,method,LinearDecayScheduler,invoke_after_each_minibatch,A,1,94,95
sample_factory/algo/learning/learner.py,method,LinearDecayScheduler,update,A,1,97,100
sample_factory/algo/learning/learner.py,method,Learner,__init__,A,1,126,176
sample_factory/algo/learning/learner.py,method,Learner,checkpoint_dir,A,1,258,260
sample_factory/algo/learning/learner.py,method,Learner,get_checkpoints,A,1,263,265
sample_factory/algo/learning/learner.py,method,Learner,_after_optimizer_step,A,1,319,321
sample_factory/algo/learning/learner.py,method,Learner,_get_checkpoint_dict,A,1,323,332
sample_factory/algo/learning/learner.py,method,Learner,save,A,1,362,363
sample_factory/algo/learning/learner.py,method,Learner,set_new_cfg,A,1,388,389
sample_factory/algo/learning/learner.py,method,Learner,set_policy_to_load,A,1,391,392
sample_factory/algo/learning/learner.py,method,Learner,_policy_loss,A,1,431,439
sample_factory/algo/learning/learner.py,method,Learner,_value_loss,A,1,441,459
sample_factory/algo/learning/learner.py,method,Learner,_kl_loss,A,1,461,471
sample_factory/algo/learning/learner.py,method,Learner,_entropy_exploration_loss,A,1,473,477
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,__init__,A,1,51,76
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,initialized,A,1,79,79
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,model_initialized,A,1,82,82
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,report_msg,A,1,85,85
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,training_batch_released,A,1,88,88
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,finished_training_iteration,A,1,91,91
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,saved_model,A,1,94,94
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,stop,A,1,97,97
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,save_milestone,A,1,111,112
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,load,A,1,114,115
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,on_update_cfg,A,1,117,118
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,start_batcher_thread,A,1,120,123
sample_factory/algo/learning/learner_worker.py,method,LearnerWorker,join_batcher_thread,A,1,125,126
