arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
sample_factory/enjoy.py,funcao,visualize_policy_inputs,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
sample_factory/enjoy.py,funcao,render_frame,9,18,12,23,27,35,103.588,166.4211,5.75,956.9211,53.1623,0.0555
sample_factory/enjoy.py,funcao,make_env,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/enjoy.py,funcao,load_state_dict,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/enjoy.py,funcao,_prepare_eval_config,4,5,4,8,9,12,19.6096,38.0391,3.2,121.7251,6.7625,0.0127
sample_factory/enjoy.py,funcao,_init_eval_actor_critic,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/enjoy.py,funcao,_init_enjoy_state,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/enjoy.py,funcao,_max_frames_reached,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
sample_factory/enjoy.py,funcao,_select_actions,3,3,3,4,6,7,9.5098,18.0947,2.0,36.1895,2.0105,0.006
sample_factory/enjoy.py,funcao,_update_episode_reward,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
sample_factory/enjoy.py,funcao,_record_done_agent,3,4,4,7,7,11,12.7549,30.8809,2.625,81.0624,4.5035,0.0103
sample_factory/enjoy.py,funcao,_log_completed_episodes,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
sample_factory/enjoy.py,funcao,_advance_env_once,5,9,5,10,14,15,40.139,57.1103,2.7778,158.6398,8.8133,0.019
sample_factory/enjoy.py,funcao,_handle_env_step_end,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/enjoy.py,funcao,_generate_enjoy_outputs,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/enjoy.py,funcao,_mean_episode_reward,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/enjoy.py,funcao,enjoy,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
sample_factory/eval.py,funcao,_print_fps_stats,5,9,8,13,14,21,40.139,79.9545,3.6111,288.7244,16.0402,0.0267
sample_factory/eval.py,funcao,_print_eval_summaries,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
sample_factory/eval.py,funcao,_save_eval_results,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
sample_factory/eval.py,funcao,generate_trajectories,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
sample_factory/eval.py,funcao,do_eval,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,forward,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
sample_factory/export_onnx.py,funcao,create_onnx_exporter,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,generate_args,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/export_onnx.py,funcao,generate_rnn_states,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,sample_space,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,unsqueeze_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,create_forward,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,patch_forward,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/export_onnx.py,funcao,export_onnx,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/train.py,funcao,make_runner,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/train.py,funcao,run_rl,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/batcher.py,funcao,slice_len,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/batcher.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,_add_slice,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/batcher.py,funcao,_del_slice,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/batcher.py,funcao,merge_slices,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,_extract_at_most,2,3,3,6,5,9,6.7549,20.8974,2.0,41.7947,2.3219,0.007
sample_factory/algo/learning/batcher.py,funcao,get_at_most,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,get_exactly,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/batcher.py,funcao,initialized,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,trajectory_buffers_available,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,training_batches_available,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,stop_experience_collection,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,resume_experience_collection,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,stop,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,init,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/batcher.py,funcao,on_new_trajectories,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
sample_factory/algo/learning/batcher.py,funcao,_maybe_enqueue_new_training_batches,7,15,13,25,22,38,78.2548,169.4584,5.8333,988.5073,54.9171,0.0565
sample_factory/algo/learning/batcher.py,funcao,on_training_batch_released,2,3,3,4,5,7,6.7549,16.2535,1.3333,21.6713,1.204,0.0054
sample_factory/algo/learning/batcher.py,funcao,_release_traj_tensors,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/algo/learning/batcher.py,funcao,on_stop,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,update,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/learner.py,funcao,invoke_after_each_minibatch,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,invoke_after_each_epoch,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,__init__,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/algo/learning/learner.py,funcao,num_recent_kls_to_use,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,get_lr_scheduler,1,5,4,8,6,12,11.6096,31.0196,0.8,24.8156,1.3786,0.0103
sample_factory/algo/learning/learner.py,funcao,model_initialization_data,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,init,7,17,11,21,24,32,89.1384,146.7188,4.3235,634.343,35.2413,0.0489
sample_factory/algo/learning/learner.py,funcao,checkpoint_dir,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,get_checkpoints,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,load_checkpoint,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
sample_factory/algo/learning/learner.py,funcao,_load_state,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,load_from_checkpoint,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/learner.py,funcao,_should_save_summaries,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/algo/learning/learner.py,funcao,_after_optimizer_step,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/algo/learning/learner.py,funcao,_get_checkpoint_dict,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,_save_impl,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
sample_factory/algo/learning/learner.py,funcao,save,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/algo/learning/learner.py,funcao,save_milestone,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
